Reviews Coeff,Reviews Threshold,From (Year),To (Year),Tags,,,How to use:,,
32,50,2020,2023,CRPG,,,"        • Choose up to 3 tags
        • Choose year range 
        • Adjust Sort by, Review Threshold and Coeff if needed.
        • Wait a bit.",,
Sort by,Median Launch Price,Median Reviews,Total Games,Median Owners,Median Revenue,Median Score,,,
Reviews Total,"$15,49",219,132,7 008,"$39 937,83",82%,,,
App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Steam Page,Tags,Owners Estimated,Revenue Estimated
1086940,Baldur's Gate 3,63044,89%,2020-10-06,"$59,99",https://store.steampowered.com/app/1086940,"Early Access, RPG, Choices Matter, Character Customization, Story Rich, CRPG, Fantasy, Co op Campaign, Romance, Class Based, Dark Fantasy, Turn Based Combat, PvE, Narration, Combat, Stealth, Dungeons & Dragons, Crafting, Isometric, Team Based",2017408,$46 389 681
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,22266,83%,2021-09-02,"$49,99",https://store.steampowered.com/app/1184370,"Party Based RPG, Class Based, Difficult, Violent, Choose Your Own Adventure, Exploration, Open World, Stylized, RPG, Atmospheric, CRPG, Turn Based Combat, Story Rich, Fantasy, Character Customization, Isometric, Choices Matter, Dark Fantasy, Dragons, Medieval",712512,$13 652 875
1096530,Solasta: Crown of the Magister,15389,88%,2021-05-27,"$39,99",https://store.steampowered.com/app/1096530,"Co op Campaign, Isometric, Multiplayer, RPG, Character Customization, Co op, Choices Matter, Fantasy, Story Rich, CRPG, Class Based, Singleplayer, Dungeons & Dragons, Stealth, PvE, Adventure, Party Based RPG, Team Based, Combat, Strategy RPG",492448,$7 548 498
719040,Wasteland 3,14001,84%,2020-08-27,"$59,99",https://store.steampowered.com/app/719040,"RPG, Turn Based Combat, Post apocalyptic, Strategy, CRPG, Co op, Isometric, Character Customization, Turn Based Tactics, Party Based RPG, Turn Based, Story Rich, Choices Matter, Violent, Singleplayer, Gore, Open World, Sexual Content, Tactical, Great Soundtrack",448032,$10 302 359
1543030,Sword and Fairy 7,12454,72%,2021-10-21,"$29,99",https://store.steampowered.com/app/1543030,"RPG, Singleplayer, Mythology, Action RPG, Martial Arts, Story Rich, 3D, Female Protagonist, Open World, Action, Sexual Content, Adventure, Fantasy, Third Person, Great Soundtrack, Anime, CRPG, Romance, Atmospheric, Hack and Slash",398528,$4 581 251
775500,SCARLET NEXUS,10604,84%,2021-06-24,"$59,99",https://store.steampowered.com/app/775500,"Action, Anime, RPG, Adventure, JRPG, Action RPG, Sci fi, Action Adventure, Combat, Character Action Game, Open World, Fighting, Interactive Fiction, Fantasy, Futuristic, Character Customization, Strategy RPG, Singleplayer, CRPG, Hack and Slash",339328,$7 802 744
1940340,Darkest Dungeon® II,9125,75%,2023-05-08,"$39,99",https://store.steampowered.com/app/1940340,"Turn Based Tactics, Dark Fantasy, Roguelite, Dungeon Crawler, Lovecraftian, Singleplayer, Perma Death, CRPG, Story Rich, 2D, Hand drawn, Turn Based, Roguelike, Procedural Generation, Gothic, Party Based RPG, Turn Based Strategy, Turn Based Combat, RPG, Stylized",292000,$4 475 928
470310,TROUBLESHOOTER: Abandoned Children,7429,94%,2020-04-23,"$24,99",https://store.steampowered.com/app/470310,"JRPG, Party Based RPG, Choices Matter, Story Rich, Turn Based, Tactical RPG, Turn Based Tactics, Turn Based Strategy, Strategy RPG, Wargame, Turn Based Combat, Visual Novel, Strategy, Female Protagonist, Lore Rich, CRPG, RPG, 3D, 2D, Controller",237728,$2 277 170
1199030,Tainted Grail: Conquest,6023,91%,2021-05-27,"$24,99",https://store.steampowered.com/app/1199030,"Deckbuilding, Dark Fantasy, Card Game, Roguelike, Story Rich, RPG, Turn Based, Choices Matter, Singleplayer, Base Building, Indie, CRPG, Board Game, Replay Value, Roguelite, Card Battler, Isometric, Turn Based Combat, Action, Survival",192736,$1 846 196
1331550,Big Ambitions,5486,93%,2023-03-10,"$22,99",https://store.steampowered.com/app/1331550,"Early Access, Management, Capitalism, Simulation, Economy, Life Sim, Sandbox, Time Management, Singleplayer, Immersive Sim, Inventory Management, 3D, Third Person, Resource Management, Top Down, RPG, Open World, Modern, Stylized, CRPG",175552,$1 547 012
1816570,江湖十一,5002,34%,2023-01-10,"$17,99",https://store.steampowered.com/app/1816570,"RPG, Open World, Story Rich, Martial Arts, Exploration, Sandbox, Tactical RPG, Turn Based Combat, CRPG, Turn Based Tactics, Immersive Sim, Turn Based Strategy, Strategy RPG, Character Customization, 3D, 2D, Historical, Alternate History, Choices Matter, Stylized",160064,$1 103 757
1157390,King Arthur: Knight's Tale,4519,83%,2022-04-26,"$44,99",https://store.steampowered.com/app/1157390,"Tactical RPG, Turn Based Tactics, Dark Fantasy, RPG, Turn Based Combat, Choices Matter, Grid Based Movement, Singleplayer, Turn Based, Strategy, PvE, Roguelite, Strategy RPG, Turn Based Strategy, Medieval, Base Building, 3D, CRPG, Isometric, Mythology",144608,$2 493 774
921800,Encased: A Sci-Fi Post-Apocalyptic RPG,3507,78%,2021-09-07,"$29,99",https://store.steampowered.com/app/921800,"RPG, Turn Based Combat, Post apocalyptic, Isometric, Adventure, Sci fi, Exploration, CRPG, Strategy, Story Rich, Choices Matter, Atmospheric, Turn Based, Indie, Singleplayer, Open World, Tactical, Multiple Endings, Survival, Alternate History",112224,$1 290 063
987840,Expeditions: Rome,3436,88%,2022-01-20,"$44,99",https://store.steampowered.com/app/987840,"RPG, Strategy, Party Based RPG, Turn Based Strategy, CRPG, Rome, Turn Based Tactics, Tactical RPG, 3D, Top Down, Historical, Atmospheric, Tactical, Choices Matter, Story Rich, Turn Based Combat, Singleplayer, Female Protagonist, Turn Based, Character Customization",109952,$1 896 129
720620,TaleSpire,2895,93%,2021-04-14,"$24,99",https://store.steampowered.com/app/720620,"Tabletop, Level Editor, Dungeons & Dragons, RPG, Online Co Op, Building, Board Game, Simulation, Early Access, Indie, Multiplayer, Sandbox, CRPG, Fantasy, Party Based RPG, 3D, Exploration, Third Person, Atmospheric, Dark Fantasy",92640,$887 388
1139940,ATOM RPG Trudograd,2881,90%,2021-09-13,"$10,99",https://store.steampowered.com/app/1139940,"CRPG, Survival, Open World, RPG, Sandbox, Post apocalyptic, Immersive Sim, Story Rich, Isometric, Turn Based Combat, Replay Value, Turn Based, Exploration, Singleplayer, Tactical, Atmospheric, Choices Matter, Turn Based Strategy, Adventure, Dystopian",92192,$388 365
941460,Death Trash,2846,95%,2021-08-05,"$19,99",https://store.steampowered.com/app/941460,"Early Access, Post apocalyptic, Pixel Graphics, Exploration, Isometric, Local Co Op, Story Rich, Action RPG, Atmospheric, RPG, Cyberpunk, Open World, Choices Matter, Old School, Character Customization, CRPG, Souls like, Singleplayer, PvE, Lovecraftian",91072,$697 825
1114220,Gedonia,2597,89%,2022-10-14,"$14,99",https://store.steampowered.com/app/1114220,"Open World, RPG, Third Person, Magic, Dragons, Medieval, Character Customization, Fantasy, Crafting, Early Access, Singleplayer, Adventure, Atmospheric, Exploration, Replay Value, Story Rich, Classic, CRPG, Choose Your Own Adventure, Beautiful",83104,$477 499
1436990,Feign,2450,90%,2021-10-23,"$4,99",https://store.steampowered.com/app/1436990,"Early Access, Casual, Multiplayer, Strategy, Social Deduction, RPG, Mystery, Investigation, Cute, Online Co Op, Co op, 2D, Tactical, Survival, Strategy RPG, PvP, Cartoony, CRPG, Tactical RPG, Cartoon",78400,$149 957
2171440,Fear & Hunger 2: Termina,2176,96%,2022-12-09,"$11,99",https://store.steampowered.com/app/2171440,"Survival Horror, Horror, JRPG, RPG, Dungeon Crawler, Dark Fantasy, Party Based RPG, Psychological Horror, Gothic, Souls like, Lovecraftian, Anime, 2D, CRPG, Atmospheric, Pixel Graphics, Multiple Endings, Top Down, Nonlinear, Turn Based Combat",69632,$320 020
1939160,Shadows Over Loathing,2161,96%,2022-11-11,"$22,99",https://store.steampowered.com/app/1939160,"Adventure, RPG, Point & Click, Puzzle, Turn Based Strategy, Choose Your Own Adventure, Comedy, CRPG, 2D, Funny, Lovecraftian, Investigation, Character Customization, Choices Matter, Controller, Multiple Endings, Open World, Story Rich, Turn Based Combat, Singleplayer",69152,$609 386
970500,秦殇 (Prince of Qin),2019,77%,2022-01-10,"$0,99",https://store.steampowered.com/app/970500,"RPG, Action, Adventure, Action RPG, Party Based RPG, Historical, Strategy RPG, 2D, CRPG, Drama, Retro, Alternate History, Story Rich, Singleplayer, Multiple Endings, Dynamic Narration",64608,$24 517
1918680,Sword and Fairy Inn 2,1846,48%,2022-07-07,"$19,99",https://store.steampowered.com/app/1918680,"Casual, Simulation, RPG, City Builder, Life Sim, Farming Sim, Time Management, Immersive Sim, CRPG, 2D, Cartoony, Cute, Drama, Romance, Lore Rich, Alternate History, Cooking, Management, Family Friendly, PvP",59072,$452 630
1385730,Mosaique Neko Waifus 3,1635,95%,2020-08-27,"$1,99",https://store.steampowered.com/app/1385730,"Hentai, Puzzle, RPG, Cute, Visual Novel, Interactive Fiction, Collectathon, Dating Sim, Anime, Romance, 2D, Colorful, Hand drawn, Casual, LGBTQ+, Choices Matter, Inventory Management, Sexual Content, Nudity, CRPG",52320,$39 909
1330000,Stolen Realm,1586,89%,2021-10-14,"$19,99",https://store.steampowered.com/app/1330000,"Early Access, Turn Based Tactics, Party Based RPG, Tactical RPG, CRPG, Turn Based Strategy, RPG, Character Customization, Strategy, Online Co Op, Turn Based Combat, Multiplayer, Top Down, Loot, Tactical, Adventure, Local Co Op, Board Game, Class Based, Tabletop",50752,$388 879
