index,app_id,title,avg_hours_streamed,reviews_total,review_avg_percent,avg_hours_watched,avg_streamers,avg_viewers,avg_channels,release_date,launch_price_cents,dataset_est_rev_cents
569,1174180,Red Dead Redemption 2,236684,394937,90.0,3104279,30149,4253,324,2019-12-05,5999,2369227063
90,397540,Borderlands 3,128000,93999,85.0,2058405,14685,2839,175,2020-03-13,7999,751898001
352,594650,Hunt: Showdown,117086,133530,83.0,2149006,10008,2959,160,2019-08-27,3999,533986470
146,782330,DOOM Eternal,105214,151201,91.0,2281359,15405,3086,142,2020-03-19,5999,907054799
281,1097840,Gears 5,73735,16677,70.0,919279,8278,1258,100,2019-09-09,3999,66691323
576,883710,Resident Evil 2,71631,92283,97.0,1442945,12619,1993,98,2019-01-24,3999,369039717
561,548570,RAGE 2,66442,12904,62.0,3004606,10513,4043,89,2019-05-14,5999,77411096
428,1030840,Mafia: Definitive Edition,64473,44916,86.0,3240675,8852,4482,88,2020-09-24,3999,179619084
164,895400,Deadside,62758,26380,78.0,1382600,6331,1922,87,2020-04-14,1999,52733620
631,1029690,Sniper Elite 5,58092,9692,79.0,1820321,13942,2488,79,2022-05-25,4999,48450308
272,438740,Friday the 13th: The Game,51611,62268,79.0,1220568,10795,1661,69,2017-05-26,3999,249009732
315,1659040,HITMAN 3,46899,12825,84.0,2619207,8801,3583,64,2022-01-20,6999,89762175
391,232090,Killing Floor 2,42500,74868,89.0,216266,13175,297,58,2016-11-18,2999,224529132
456,1110910,Mortal Shell,38711,4708,72.0,2330174,6493,3135,52,2021-08-18,2999,14119292
143,379720,DOOM,35232,120073,95.0,620890,9235,842,47,2016-05-12,5999,720317927
369,581320,Insurgency: Sandstorm,27906,85036,86.0,612790,6363,824,37,2018-12-12,2999,255022964
277,493520,GTFO,23939,34952,87.0,851431,5277,1155,32,2021-12-09,3999,139773048
630,312660,Sniper Elite 4,20330,41845,91.0,855764,3662,1275,30,2017-02-13,5999,251028155
859,694280,Zombie Army 4: Dead War,16364,5104,85.0,612082,2297,880,23,2021-02-18,4999,25514896
705,268050,The Evil Within,14717,16080,84.0,388049,2653,524,19,2014-10-13,1999,32143920
614,324800,Shadow Warrior 2,14698,20612,87.0,768859,3011,1034,19,2016-10-13,3999,82427388
837,612880,Wolfenstein II: The New Colossus,14209,24922,79.0,821863,3860,1122,19,2017-10-26,3999,99663078
480,1222370,Necromunda: Hired Gun,14071,4540,70.0,793254,2650,1103,19,2021-05-31,3999,18155460
612,257420,Serious Sam 4,12029,11809,83.0,580536,2061,807,16,2020-09-24,3999,47224191
732,644830,The Surge 2,6913,5367,77.0,853549,935,1179,9,2019-09-23,4999,26829633
211,766370,Dying Light: Bad Blood,6088,1087,62.24,589867,1638,820,8,2018-09-13,1999,2172913
322,657200,Hand Simulator,4209,28054,84.0,394697,2341,535,5,2017-07-18,199,5582746
427,40990,Mafia,867,7077,89.0,207106,138,287,0,2002-08-28,1499,10608423
