index,app_id,title,avg_hours_streamed,reviews_total,review_avg_percent,avg_hours_watched,avg_streamers,avg_viewers,avg_channels,release_date,launch_price_cents,dataset_est_rev_cents
127,10,Counter-Strike,913781,137421,97.0,53172684,141632,72571,1248,2000-11-01,999,137283579
128,730,Counter-Strike: Global Offensive,906847,7382695,88.0,48489362,123006,66604,1243,2012-08-21,1499,11066659805
174,1085660,Destiny 2,565819,555551,82.0,7174193,53869,9832,775,2019-10-01,3499,1943872949
517,578080,PUBG: BATTLEGROUNDS,495358,2201296,57.0,9725767,47808,13337,679,2017-12-21,2999,6601686704
569,1174180,Red Dead Redemption 2,236684,394937,90.0,3104279,30149,4253,324,2019-12-05,5999,2369227063
57,924970,Back 4 Blood,232005,36130,66.0,6077030,38193,8202,313,2021-10-12,5999,216743870
754,1286680,Tiny Tina's Wonderlands,201391,9094,76.0,3259927,30371,4441,275,2022-06-23,7999,72742906
597,252490,Rust,183374,775223,87.0,10434473,18355,14292,251,2018-02-08,3999,3100116777
64,671860,BattleBit Remastered,146138,63529,90.0,6292272,27123,8577,198,2023-06-15,1499,95229971
570,1294810,Redfall,141609,1763,31.0,2850843,34278,3836,190,2023-05-01,6999,12339237
90,397540,Borderlands 3,128000,93999,85.0,2058405,14685,2839,175,2020-03-13,7999,751898001
229,1286320,Exoprimal,127210,1501,80.0,1375580,28411,1851,171,2023-07-13,5999,9004499
157,221100,DayZ,119869,293735,74.0,3084315,11534,4224,163,2018-12-13,4499,1321513765
352,594650,Hunt: Showdown,117086,133530,83.0,2149006,10008,2959,160,2019-08-27,3999,533986470
146,782330,DOOM Eternal,105214,151201,91.0,2281359,15405,3086,142,2020-03-19,5999,907054799
841,699130,World War Z,97954,11025,83.0,1334385,23338,1843,134,2021-09-21,3999,44088975
572,617290,Remnant: From the Ashes,96251,39273,85.0,1834655,13482,2483,130,2019-08-19,3999,157052727
321,976730,Halo: The Master Chief Collection,91502,191261,92.0,934596,12447,1275,124,2019-12-03,3999,764852739
140,1252330,DEATHLOOP,87875,16760,77.0,5285183,11199,7350,122,2021-09-13,5999,100543240
815,1361210,"Warhammer 40,000: Darktide",76688,60687,55.0,3102465,11989,4241,104,2022-11-30,3999,242687313
576,883710,Resident Evil 2,71631,92283,97.0,1442945,12619,1993,98,2019-01-24,3999,369039717
43,107410,Arma 3,67987,154464,91.0,1570368,6725,2152,92,2013-09-12,2999,463237536
561,548570,RAGE 2,66442,12904,62.0,3004606,10513,4043,89,2019-05-14,5999,77411096
591,632360,Risk of Rain 2,64437,162603,96.0,1276906,12719,1751,88,2020-08-11,2499,406344897
164,895400,Deadside,62758,26380,78.0,1382600,6331,1922,87,2020-04-14,1999,52733620
631,1029690,Sniper Elite 5,58092,9692,79.0,1820321,13942,2488,79,2022-05-25,4999,48450308
567,1144200,Ready or Not,54186,91986,91.0,2214276,14136,2980,72,2021-12-17,3999,367852014
391,232090,Killing Floor 2,42500,74868,89.0,216266,13175,297,58,2016-11-18,2999,224529132
155,544920,Darwin Project,42262,18503,81.0,1001573,8359,1361,57,2020-01-13,1499,27735997
89,49520,Borderlands 2,35617,183303,95.0,520836,6309,716,48,2012-09-17,5999,1099634697
143,379720,DOOM,35232,120073,95.0,620890,9235,842,47,2016-05-12,5999,720317927
440,1194810,Meet Your Maker,35094,2472,73.0,997977,8763,1388,48,2023-04-04,2999,7413528
650,1268750,Starship Troopers: Extermination,33798,19519,92.0,1342848,7634,1807,45,2023-05-17,2499,48777981
444,915810,Midnight Ghost Hunt,31511,4504,80.0,2071385,7564,2880,43,2022-03-31,1999,9003496
313,1217060,Gunfire Reborn,28558,75947,93.0,737151,4498,1014,39,2021-11-17,1999,151818053
369,581320,Insurgency: Sandstorm,27906,85036,86.0,612790,6363,824,37,2018-12-12,2999,255022964
674,626690,Sword Art Online: Fatal Bullet,27310,14273,80.0,269398,4447,384,38,2018-02-23,4999,71350727
407,550,Left 4 Dead 2,27224,564441,97.0,402067,7008,547,36,2009-11-16,999,563876559
375,728540,Islands of Nyne: Battle Royale,25139,6801,50.0,860606,4229,1188,34,2018-07-12,2499,16995699
839,1056960,Wolfenstein: Youngblood,24882,9677,46.0,1188315,5459,1599,33,2019-07-25,2999,29021323
167,820520,Deceive Inc.,24845,3305,86.0,1251211,4748,1711,33,2023-03-21,1999,6606695
513,218620,PAYDAY 2,24524,410570,89.0,161983,5288,221,33,2013-08-13,999,410159430
277,493520,GTFO,23939,34952,87.0,851431,5277,1155,32,2021-12-09,3999,139773048
279,4000,Garry's Mod,23566,841853,96.0,550527,5763,751,31,2006-11-29,999,841011147
28,214490,Alien: Isolation,22720,37348,92.0,482881,4741,654,30,2014-10-06,3999,149354652
840,674020,World War 3,22182,52225,54.0,747886,4140,1006,29,2022-12-10,2800,146230000
218,311690,Enter the Gungeon,22041,65522,95.0,793458,5210,1087,29,2016-04-05,1499,98217478
646,393380,Squad,21134,103913,88.0,551766,2778,760,28,2020-09-23,4999,519461087
630,312660,Sniper Elite 4,20330,41845,91.0,855764,3662,1275,30,2017-02-13,5999,251028155
632,1338770,Sniper Ghost Warrior Contracts 2,16694,7090,84.0,778271,2273,1082,23,2021-06-04,3999,28352910
77,362890,Black Mesa,14957,92515,95.0,758143,2563,1020,19,2020-03-06,1999,184937485
614,324800,Shadow Warrior 2,14698,20612,87.0,768859,3011,1034,19,2016-10-13,3999,82427388
837,612880,Wolfenstein II: The New Colossus,14209,24922,79.0,821863,3860,1122,19,2017-10-26,3999,99663078
480,1222370,Necromunda: Hired Gun,14071,4540,70.0,793254,2650,1103,19,2021-05-31,3999,18155460
353,393420,Hurtworld,13168,23824,76.0,217722,1728,293,17,2019-12-10,2499,59536176
56,1286350,BPM: BULLETS PER MINUTE,13026,8373,92.0,708614,3276,985,18,2020-09-15,1999,16737627
44,1874880,Arma Reforger,12929,7433,59.0,664480,3166,894,17,2022-05-17,2999,22291567
612,257420,Serious Sam 4,12029,11809,83.0,580536,2061,807,16,2020-09-24,3999,47224191
848,625340,XERA: Survival,11118,7116,67.0,883459,2155,1189,14,2021-09-26,1999,14224884
590,418460,Rising Storm 2: Vietnam,10967,36748,87.0,164970,2994,225,14,2017-05-30,2999,110207252
542,736220,Post Scriptum,7035,14966,80.0,552459,1267,743,9,2018-08-09,2999,44883034
211,766370,Dying Light: Bad Blood,6088,1087,62.24,589867,1638,820,8,2018-09-13,1999,2172913
318,220,Half-Life 2,5562,130902,97.0,327996,1321,441,7,2004-11-16,999,130771098
216,415590,Earthfall,4858,1513,64.0,327308,1597,440,6,2018-07-12,2999,4537487
660,312670,Strange Brigade,4623,4075,85.0,279452,1067,376,6,2018-08-27,4999,20370925
604,322500,SUPERHOT,4545,22958,91.0,245351,2158,347,5,2016-02-25,2499,57372042
359,595140,Immortal Redneck,4471,1966,91.0,402083,923,541,6,2017-04-25,1995,3922170
322,657200,Hand Simulator,4209,28054,84.0,394697,2341,535,5,2017-07-18,199,5582746
91,261640,Borderlands: The Pre-Sequel,3450,27028,83.0,287491,878,399,4,2014-10-14,3999,108084972
402,858590,Last Tide,3285,960,64.0,356133,1057,479,4,2018-08-27,2499,2399040
715,1017180,The Long Drive,3228,21700,91.0,894712,884,1220,3,2019-09-25,1599,34698300
817,375230,"Warhammer 40,000: Eternal Crusade",3005,3792,51.81,108146,328,150,4,2016-09-23,1999,7580208
412,436520,Line of Sight,2974,9117,59.0,148671,615,200,4,2017-01-31,999,9107883
599,41700,S.T.A.L.K.E.R.: Call of Pripyat,2568,19486,95.0,233727,515,314,3,2010-02-11,1999,38952514
344,589290,Holdfast: Nations At War,2178,20358,90.0,502041,703,698,2,2020-03-05,1999,40695642
144,208200,DOOM 3,1981,6568,85.0,116783,584,157,2,2012-10-15,2999,19697432
145,9050,DOOM 3,1981,5462,78.74,116783,584,157,2,2007-08-03,999,5456538
600,20510,S.T.A.L.K.E.R.: Clear Sky,1508,13325,86.0,255110,248,343,2,2008-09-15,999,13311675
180,422970,Devil Daggers,1297,6326,96.0,180538,520,242,1,2016-02-18,999,6319674
758,1121710,Total Lockdown,1157,688,77.0,531250,216,715,1,2020-03-25,2999,2063312
406,500,Left 4 Dead,1143,41000,96.0,265959,405,357,1,2008-11-17,999,40959000
619,229870,ShootMania Storm,1036,581,84.0,449923,147,605,1,2013-04-10,1999,1161419
427,40990,Mafia,867,7077,89.0,207106,138,287,0,2002-08-28,1499,10608423
118,4720,Condemned: Criminal Origins,723,2089,88.0,156162,190,210,0,2006-04-11,1499,3131411
206,57900,Duke Nukem Forever,187,5260,69.0,180847,45,243,0,2011-06-13,1999,10514740
