app_id,tag
730,FPS
730,Shooter
730,Multiplayer
730,Competitive
730,Action
730,Team Based
730,eSports
730,Tactical
730,First Person
730,PvP
730,Online Co Op
730,Co op
730,Strategy
730,Military
730,War
730,Difficult
730,Trading
730,Realistic
730,Fast Paced
730,Moddable
578080,Survival
578080,Shooter
578080,Multiplayer
578080,FPS
578080,PvP
578080,Third Person Shooter
578080,Action
578080,Online Co Op
578080,Tactical
578080,Co op
578080,First Person
578080,Strategy
578080,Early Access
578080,Competitive
578080,Third Person
578080,Team Based
578080,Difficult
578080,Simulation
578080,Stealth
570,Multiplayer
570,Strategy
570,eSports
570,Team Based
570,Competitive
570,Action
570,Online Co Op
570,PvP
570,Difficult
570,Co op
570,RTS
570,Tower Defense
570,RPG
570,Fantasy
570,Character Customization
570,Replay Value
570,Action RPG
570,Simulation
271590,Open World
271590,Action
271590,Multiplayer
271590,Crime
271590,Automobile Sim
271590,Third Person
271590,First Person
271590,Shooter
271590,Mature
271590,Adventure
271590,Singleplayer
271590,Third Person Shooter
271590,Racing
271590,Co op
271590,Atmospheric
271590,Sandbox
271590,Funny
271590,Great Soundtrack
271590,Comedy
271590,Moddable
359550,FPS
359550,PvP
359550,eSports
359550,Shooter
359550,Multiplayer
359550,Tactical
359550,Competitive
359550,Online Co Op
359550,Action
359550,Team Based
359550,Military
359550,War
359550,Realistic
359550,Destruction
359550,Strategy
359550,Co op
359550,First Person
359550,Difficult
359550,3D
105600,Sandbox
105600,Survival
105600,2D
105600,Multiplayer
105600,Adventure
105600,Pixel Graphics
105600,Crafting
105600,Building
105600,Exploration
105600,Co op
105600,Open World
105600,Online Co Op
105600,Indie
105600,Action
105600,RPG
105600,Singleplayer
105600,Replay Value
105600,Platformer
105600,Atmospheric
4000,Multiplayer
4000,Funny
4000,Moddable
4000,Building
4000,Comedy
4000,Co op
4000,First Person
4000,Physics
4000,Simulation
4000,Online Co Op
4000,FPS
4000,Singleplayer
4000,Action
4000,Shooter
4000,Indie
4000,Massively Multiplayer
4000,Adventure
252490,Survival
252490,Crafting
252490,Multiplayer
252490,Open World
252490,Open World Survival Craft
252490,Building
252490,PvP
252490,Sandbox
252490,Adventure
252490,First Person
252490,Action
252490,FPS
252490,Nudity
252490,Co op
252490,Shooter
252490,Online Co Op
252490,Indie
252490,Early Access
252490,Post apocalyptic
252490,Simulation
292030,Open World
292030,RPG
292030,Story Rich
292030,Atmospheric
292030,Mature
292030,Fantasy
292030,Adventure
292030,Singleplayer
292030,Nudity
292030,Choices Matter
292030,Great Soundtrack
292030,Third Person
292030,Medieval
292030,Action
292030,Multiple Endings
292030,Action RPG
292030,Magic
292030,Dark Fantasy
292030,Dark
292030,Sandbox
945360,Online Co Op
945360,Space
945360,Survival
945360,2D
945360,Funny
945360,Psychological
945360,Co op
945360,Cartoony
945360,Local Multiplayer
945360,Casual
945360,Action
945360,Colorful
945360,PvP
945360,Sci fi
945360,Aliens
945360,Top Down
550,Co op
550,FPS
550,Multiplayer
550,Shooter
550,Online Co Op
550,Action
550,Survival
550,Horror
550,First Person
550,Gore
550,Team Based
550,Moddable
550,Survival Horror
550,Post apocalyptic
550,Singleplayer
550,Adventure
550,Local Co Op
550,Replay Value
550,Tactical
1085660,Open World
1085660,FPS
1085660,Co op
1085660,PvP
1085660,PvE
1085660,Multiplayer
1085660,Shooter
1085660,Massively Multiplayer
1085660,First Person
1085660,Loot
1085660,Sci fi
1085660,Action
1085660,Lore Rich
1085660,Adventure
1085660,Space
1085660,Competitive
1085660,Atmospheric
1091500,Open World
1091500,Nudity
1091500,RPG
1091500,Singleplayer
1091500,Sci fi
1091500,Futuristic
1091500,FPS
1091500,Mature
1091500,Story Rich
1091500,First Person
1091500,Atmospheric
1091500,Exploration
1091500,Action
1091500,Violent
1091500,Great Soundtrack
1091500,Action RPG
1091500,Adventure
1091500,Character Customization
1091500,Immersive Sim
1245620,Dark Fantasy
1245620,RPG
1245620,Open World
1245620,Difficult
1245620,Action RPG
1245620,Third Person
1245620,Fantasy
1245620,Multiplayer
1245620,Singleplayer
1245620,Online Co Op
1245620,Action
1245620,PvP
1245620,Co op
1245620,Violent
1245620,Atmospheric
1245620,Great Soundtrack
1245620,3D
1245620,Character Customization
1245620,Family Friendly
413150,Life Sim
413150,Pixel Graphics
413150,Multiplayer
413150,RPG
413150,Relaxing
413150,Simulation
413150,Crafting
413150,Sandbox
413150,Indie
413150,Building
413150,Singleplayer
413150,Casual
413150,Open World
413150,2D
413150,Cute
413150,Great Soundtrack
413150,Dating Sim
346110,Survival
346110,Multiplayer
346110,Open World
346110,Crafting
346110,Building
346110,Adventure
346110,Base Building
346110,Co op
346110,Action
346110,First Person
346110,Sandbox
346110,Massively Multiplayer
346110,Singleplayer
346110,Early Access
346110,RPG
346110,Sci fi
346110,Indie
381210,Horror
381210,Survival Horror
381210,Multiplayer
381210,Online Co Op
381210,Co op
381210,Survival
381210,Gore
381210,Team Based
381210,Blood
381210,Stealth
381210,Third Person
381210,Violent
381210,First Person
381210,Psychological Horror
381210,Action
381210,Atmospheric
381210,Strategy
